265,1,748,1,748,223,265,223,Urdu,کلينک
723,61,1188,61,1188,303,723,300,Urdu,احسان
115,158,355,158,355,373,115,373,Urdu,شاہ
364,194,786,196,786,428,364,127,Urdu,علی
606,308,1084,308,1084,457,606,457,Urdu,محمد
997,374,1285,374,1285,563,997,563,Urdu,ڈاکٹر
28,457,369,549,369,661,28,661,Urdu,حلق
344,569,606,569,606,743,344,744,Urdu,ناک
596,631,828,632,828,776,596,776,Urdu,کان
809,617,1111,617,1110,851,809,850,Urdu,امراض
1056,769,1278,769,1279,907,1056,907,Urdu,ماہر
376,540,449,540,449,626,376,626,Urdu,و
