33,494,186,483,190,548,35,557,Latin,AGS
238,508,298,504,300,526,242,532,Latin,AGS
399,500,545,488,541,538,393,546,Latin,Anamta
387,550,471,552,465,607,383,605,Latin,Cold
477,546,571,542,567,603,477,611,Latin,Spot
609,593,644,591,644,611,611,613,Latin,###
656,569,708,565,710,585,658,591,Latin,pepsi
798,446,945,440,947,496,810,500,Latin,Erum
780,506,971,492,975,546,788,563,Latin,Bakers
1019,567,1059,561,1061,585,1023,585,Latin,pepsi
1077,542,1130,536,1132,555,1079,559,Latin,pepsi
483,709,527,711,527,725,491,727,Latin,GRAB
527,711,543,711,543,725,529,725,Latin,A
495,727,535,725,535,741,495,741,Latin,PEPSI
431,838,483,830,487,848,431,856,Latin,###
463,954,493,952,491,974,457,978,Latin,###
274,888,328,894,332,926,268,920,Latin,###
640,629,698,625,700,647,642,653,Latin,###
