340,1,630,1,630,195,340,195,Latin,Coca
634,14,918,14,918,206,634,206,Latin,Cola
130,211,395,211,395,290,130,290,Latin,ROSHAN
416,222,685,222,685,298,416,298,Latin,KIRYANA
702,233,745,233,745,301,702,301,Symbol,&
760,235,914,235,914,306,760,306,Latin,COLD
930,243,1164,243,1164,317,930,317,Latin,CORNER
844,335,907,335,907,358,844,358,Latin,Abdul
913,337,994,337,994,361,913,361,Latin,Sattar
998,340,1069,340,1069,367,998,367,Latin,Rajput
1081,341,1221,341,1221,369,1081,369,Latin,03073252300
909,194,918,194,918,204,909,204,Latin,R
