732,7,817,7,817,82,732,82,Latin,JAZZ
925,45,1043,45,1043,67,925,67,Latin,NOKIA
924,69,997,69,997,89,924,89,Latin,Connecting
998,70,1044,70,1044,89,998,89,Latin,People
1143,34,1320,34,1320,76,1143,76,Latin,ufone
623,102,1206,102,1206,228,623,228,Urdu,کميونيکيشن
1232,105,1418,105,1418,230,1232,230,Urdu,بائل
17,352,66,352,66,407,17,407,Urdu,ہے
71,338,178,338,178,401,71,401,Urdu,دستياب
155,342,291,342,291,391,155,391,Latin,MP3
293,352,339,352,339,392,293,392,Urdu,اور
340,330,398,330,395,403,340,403,Urdu,فون
396,322,491,322,485,411,396,411,Urdu,موبائل
490,344,577,344,577,422,490,422,Urdu,پرانے
580,358,625,358,625,400,580,400,Urdu,اور
627,353,681,353,681,403,627,403,Urdu,نئے
32,448,84,448,84,505,32,505,Urdu,ہے
89,436,146,436,146,500,89,500,Urdu,جاتا
152,422,201,422,195,499,152,499,Urdu,کيا
188,418,255,418,250,495,188,495,Urdu,بخش
251,408,314,408,300,497,251,497,Urdu,تسلی
295,433,359,433,340,514,295,514,Urdu,کام
344,441,462,441,462,514,344,514,Urdu,ہارڈويئر
463,438,518,438,516,504,463,504,Urdu,اينڈ
519,441,680,441,680,505,519,505,Urdu,سافٹ ويئر
812,303,951,303,948,381,812,381,Urdu,سيل
937,296,1153,296,1153,388,937,388,Urdu,موبائل
829,419,1015,419,1015,492,829,492,Urdu,سروس
1016,412,1135,412,1135,482,1016,482,Urdu,اينڈ
