145,176,309,176,309,327,145,327,Urdu,اپيل
339,176,412,176,412,297,339,297,Urdu,کی
423,625,665,625,665,250,423,283,Urdu,الحق
669,147,922,147,922,229,669,274,Urdu,سراج
970,160,1101,160,1101,248,970,248,Urdu,پاکستان
1103,144,1223,144,1223,205,1103,227,Urdu,اسلامی
1224,144,1363,144,1360,210,1224,210,Urdu,جماعت
1370,140,1445,140,1445,205,1345,221,Urdu,امير
39,347,702,347,702,709,39,709,Urdu,الخدمت
716,380,1052,385,1010,593,716,625,Urdu,کھاليں
1025,365,1168,365,1136,599,1025,599,Urdu,کی
1138,365,1433,365,1433,605,1138,605,Urdu,قربانی
735,682,813,680,813,733,735,733,Latin,UAN
822,677,1058,677,1058,730,822,730,Latin,111-503-504
1063,685,1372,685,1372,728,1063,727,Latin,###
