261,109,550,94,549,146,271,162,Latin,SUPER
568,87,883,70,882,127,576,142,Latin,POWER
303,166,846,130,849,186,306,214,Latin,MOTORCYCLE
129,340,267,323,274,364,133,392,Latin,SUPER
277,314,390,308,396,341,281,356,Latin,POWER
160,393,380,353,381,389,167,422,Latin,###
347,438,536,438,532,485,333,494,Latin,Autos
825,330,906,335,910,373,831,380,Urdu,اعتبار
906,334,934,335,935,371,913,371,Urdu,کا
935,334,999,330,1001,365,935,374,Urdu,سوار
737,416,870,408,872,466,738,467,Urdu,آٹوز
879,415,1062,405,1064,453,884,460,Urdu,بلیدی
884,552,1158,561,1162,698,876,709,Latin,MLAM
