4,23,60,17,54,55,6,58,Latin,p
8,73,90,65,97,107,15,117,Latin,m
103,47,354,37,361,91,112,107,Latin,Pakistan
365,28,456,24,461,82,375,89,Latin,Oil
463,30,600,21,605,74,472,83,Latin,Mills
883,10,940,12,937,37,885,40,Latin,TUV
15,238,253,238,252,345,22,351,Urdu,پیور
60,352,119,351,122,410,69,419,Urdu,آئل
113,349,210,345,205,410,121,410,Urdu,کوکنگ
45,422,133,415,137,465,61,483,Urdu,دلوں
122,419,214,410,221,455,130,478,Urdu,باندھے
24,485,117,476,122,526,31,539,Urdu,بندھن
117,482,176,465,176,510,124,525,Urdu,کے
33,539,157,537,158,582,36,586,Latin,D.S.M
35,587,108,586,108,604,36,605,Latin,HERRy
110,584,164,580,167,602,113,602,Latin,PICK
36,607,148,607,149,623,40,629,Latin,###
40,631,79,629,81,647,45,652,Latin,###
83,627,169,623,167,645,87,648,Latin,COLLECTION
79,650,117,650,117,666,74,666,Latin,###
45,720,92,720,94,751,54,751,Latin,###
90,720,108,724,113,747,96,749,Symbol,&
110,720,167,720,169,744,117,749,Latin,Gents
47,769,173,763,173,785,51,790,Latin,###
51,796,171,787,171,805,54,812,Latin,###
51,817,178,805,178,828,56,831,Latin,###
74,844,180,839,180,860,83,867,Latin,DAWOOD
210,909,252,907,255,937,212,937,Latin,Oil
250,903,314,898,316,930,261,932,Latin,Mills
340,281,562,270,567,322,345,340,Latin,ENTRANCE
571,274,639,274,643,306,575,315,Urdu,راستہ
636,268,666,259,664,309,646,315,Urdu,کا
652,259,734,261,734,311,662,313,Urdu,جانے
734,265,786,265,784,295,732,304,Urdu,اندر
874,164,1082,153,1089,265,881,270,Urdu,پیور
912,277,967,261,975,313,932,329,Urdu,آئل
967,265,1052,261,1055,311,975,322,Urdu,کوکنگ
901,336,984,322,991,374,921,387,Urdu,دلوں
976,329,1055,318,1070,361,982,381,Urdu,باندھے
879,406,975,385,982,433,901,455,Urdu,بندھن
975,381,1025,372,1032,412,984,435,Urdu,کے
