120,74,352,74,352,327,120,327,Urdu,باڑہ
378,146,908,146,908,367,378,367,Urdu,راجپوت
997,297,1095,297,1095,414,997,414,Latin,7up
1353,192,1494,192,1494,303,1353,303,Urdu,باڑہ
60,680,297,80,297,793,60,793,Latin,fone
551,707,671,707,671,745,551,745,Latin,Purana
681,718,793,718,793,760,681,760,Latin,Jhopra
801,726,894,726,894,764,801,764,Latin,Hotel
1253,861,1325,861,1274,880,1253,880,Latin,pepsi
1372,827,1469,828,1469,860,1372,860,Latin,pepsi,
979,1005,1058,1005,1058,1081,979,1081,Latin,7up
525,657,913,57,913,712,525,712,Latin,###
